pgID	interpChr	interpOrd	og	repGene	genome	chr	start	end	hap1	salicifolius	hap2
3	X	4	14439	NChap1_final_00000004	hap1	X	403065	420694	NChap1_final_00000004	R_salicifolius_00022220	NChap2_final_00025377
4	X	5	14570	NChap1_final_00000005	hap1	X	471220	478043	NChap1_final_00000005	R_salicifolius_00022221	NChap2_final_00025375
5	X	6	17887	NChap1_final_00000006	hap1	X	478724	480411	NChap1_final_00000006	R_salicifolius_00022222	
10	X	8	14492	NChap1_final_00000008	hap1	X	484777	486768	NChap1_final_00000008	R_salicifolius_00022226	NChap2_final_00025373
15	X	10	14600	NChap1_final_00000010	hap1	X	509516	515085	NChap1_final_00000010	R_salicifolius_00022230	NChap2_final_00025371
22	X	13	14914	NChap1_final_00000013	hap1	X	523470	528010	NChap1_final_00000013	R_salicifolius_00022237	NChap2_final_00025370
23	X	14	18107	NChap1_final_00000014	hap1	X	528938	530259	NChap1_final_00000014	R_salicifolius_00022238	
35	X	23	14797	NChap1_final_00000023	hap1	X	577368	579928	NChap1_final_00000023	R_salicifolius_00022244	NChap2_final_00025367
36	X	24	14941	NChap1_final_00000024	hap1	X	580671	582032	NChap1_final_00000024	R_salicifolius_00022245	NChap2_final_00025366
42	X	28	15187	NChap1_final_00000028	hap1	X	663229	664660	NChap1_final_00000028	R_salicifolius_00022250	NChap2_final_00025363
44	X	30	18175	NChap1_final_00000030	hap1	X	667370	668068	NChap1_final_00000030	R_salicifolius_00022251	
52	X	36	16213	NChap1_final_00000036	hap1	X	716579	719046	NChap1_final_00000036	R_salicifolius_00022255	NChap2_final_00025359
54	X	38	16266	NChap1_final_00000038	hap1	X	749803	752387	NChap1_final_00000038	R_salicifolius_00022256	NChap2_final_00025358
55	X	39	16325	NChap1_final_00000039	hap1	X	755298	764434	NChap1_final_00000039	R_salicifolius_00022257	NChap2_final_00025357
56	X	40	18179	NChap1_final_00000040	hap1	X	785078	787088	NChap1_final_00000040	R_salicifolius_00022258	
62	X	46	15572	NChap1_final_00000046	hap1	X	828280	831280	NChap1_final_00000046	R_salicifolius_00022259	NChap2_final_00025356
63	X	47	15812	NChap1_final_00000047	hap1	X	831561	833767	NChap1_final_00000047	R_salicifolius_00022260	NChap2_final_00025355
68	X	49	15667	NChap1_final_00000049	hap1	X	859770	861861	NChap1_final_00000049	R_salicifolius_00022264	NChap2_final_00025353
72	X	57	16714	NChap1_final_00000057	hap1	X	928011	934140	NChap1_final_00000057	R_salicifolius_00022266	NChap2_final_00025351
73	X	58	16773	NChap1_final_00000058	hap1	X	934310	940217	NChap1_final_00000058	R_salicifolius_00022267	NChap2_final_00025350
74	X	59	18237	NChap1_final_00000059	hap1	X	943180	945520	NChap1_final_00000059	R_salicifolius_00022268	
77	X	62	67	NChap1_final_00000062	hap1	X	977722	981370	NChap1_final_00000062	R_salicifolius_00022379	NChap2_final_00025338
79	X	63	686	NChap1_final_00000063	hap1	X	986784	989860	NChap1_final_00000063	R_salicifolius_00022380	NChap2_final_00025340
91	X	75	1362	NChap1_final_00000075	hap1	X	1062848	1066878	NChap1_final_00000075	R_salicifolius_00022270	NChap2_final_00025349
93	X	77	250	NChap1_final_00000077	hap1	X	1119229	1121809	NChap1_final_00000077	R_salicifolius_00022378	NChap2_final_00025335
94	X	78	312	NChap1_final_00000078	hap1	X	1127081	1130632	NChap1_final_00000078	R_salicifolius_00022377	NChap2_final_00025334
98	X	80	374	NChap1_final_00000080	hap1	X	1164873	1169503	NChap1_final_00000080	R_salicifolius_00022375	NChap2_final_00025332
99	X	81	620	NChap1_final_00000081	hap1	X	1169596	1176792	NChap1_final_00000081	R_salicifolius_00022374	NChap2_final_00025331
102	X	84	1616	NChap1_final_00000084	hap1	X	1186656	1189847	NChap1_final_00000084	R_salicifolius_00022372	NChap2_final_00025330
113	X	93	1943	NChap1_final_00000093	hap1	X	1371905	1379112	NChap1_final_00000093	R_salicifolius_00022371	NChap2_final_00025327
115	X	95	2067	NChap1_final_00000095	hap1	X	1382567	1384113	NChap1_final_00000095	R_salicifolius_00022370	NChap2_final_00025326
116	X	96	2694	NChap1_final_00000096	hap1	X	1390868	1394726	NChap1_final_00000096	R_salicifolius_00022369	NChap2_final_00025325
118	X	98	2761	NChap1_final_00000098	hap1	X	1407212	1410230	NChap1_final_00000098	R_salicifolius_00022368	NChap2_final_00025324
122	X	102	2372	NChap1_final_00000102	hap1	X	1456942	1459467	NChap1_final_00000102	R_salicifolius_00022366	NChap2_final_00025322
123	X	103	2880	NChap1_final_00000103	hap1	X	1463189	1465551	NChap1_final_00000103	R_salicifolius_00022365	NChap2_final_00025321
124	X	104	2446	NChap1_final_00000104	hap1	X	1473225	1474986	NChap1_final_00000104	R_salicifolius_00022364	NChap2_final_00025320
138	X	117	3755	NChap1_final_00000117	hap1	X	1557396	1563250	NChap1_final_00000117	R_salicifolius_00022387	NChap2_final_00025313
139	X	118	3788	NChap1_final_00000118	hap1	X	1573376	1575462	NChap1_final_00000118	R_salicifolius_00022388	NChap2_final_00025312
143	X	119.333333333333	18398	R_salicifolius_00022391	salicifolius	ScaOOZI_6_HRSCAF_9	1367336	1370044		R_salicifolius_00022391	NChap2_final_00025310
147	X	120	2999	NChap1_final_00000120	hap1	X	1599454	1600881	NChap1_final_00000120	R_salicifolius_00022394	NChap2_final_00025308
150	X	123	3268	NChap1_final_00000123	hap1	X	1614588	1626333	NChap1_final_00000123	R_salicifolius_00022396	NChap2_final_00025306
158	X	129	18397	R_salicifolius_00022395	salicifolius	ScaOOZI_6_HRSCAF_9	1379985	1382386		R_salicifolius_00022395	NChap2_final_00025300
161	X	130	18396	R_salicifolius_00022397	salicifolius	ScaOOZI_6_HRSCAF_9	1389794	1392987		R_salicifolius_00022397	NChap2_final_00025299
165	X	133	4009	NChap1_final_00000133	hap1	X	1788686	1793015	NChap1_final_00000133	R_salicifolius_00022401	NChap2_final_00025296
170	X	138	4192	NChap1_final_00000138	hap1	X	1809026	1811680	NChap1_final_00000138	R_salicifolius_00022403	NChap2_final_00025294
171	X	139	4323	NChap1_final_00000139	hap1	X	1813464	1817028	NChap1_final_00000139	R_salicifolius_00022402	NChap2_final_00025293
173	X	141	5003	NChap1_final_00000141	hap1	X	1904812	1916235	NChap1_final_00000141	R_salicifolius_00022404	NChap2_final_00025291
180	X	145	5376	NChap1_final_00000145	hap1	X	1950344	1955307	NChap1_final_00000145	R_salicifolius_00022405	NChap2_final_00025285
181	X	146	5420	NChap1_final_00000146	hap1	X	1959632	1964474	NChap1_final_00000146	R_salicifolius_00022406	NChap2_final_00025284
182	X	147	5186	NChap1_final_00000147	hap1	X	1966149	1969395	NChap1_final_00000147	R_salicifolius_00022407	NChap2_final_00025283
183	X	148	5246	NChap1_final_00000148	hap1	X	1971488	1976353	NChap1_final_00000148	R_salicifolius_00022408	NChap2_final_00025282
185	X	149	5299	NChap1_final_00000149	hap1	X	1983614	1984774	NChap1_final_00000149	R_salicifolius_00022410	NChap2_final_00025281
186	X	150	4449	NChap1_final_00000150	hap1	X	1997147	2005890	NChap1_final_00000150	R_salicifolius_00022411	NChap2_final_00025280
187	X	151	4569	NChap1_final_00000151	hap1	X	2006737	2010100	NChap1_final_00000151	R_salicifolius_00022412	NChap2_final_00025279
189	X	153	4687	NChap1_final_00000153	hap1	X	2016725	2019452	NChap1_final_00000153	R_salicifolius_00022414	NChap2_final_00025277
192	X	155	4750	NChap1_final_00000155	hap1	X	2044132	2048707	NChap1_final_00000155	R_salicifolius_00022417	NChap2_final_00025274
193	X	156	4805	NChap1_final_00000156	hap1	X	2049351	2050783	NChap1_final_00000156	R_salicifolius_00022418	NChap2_final_00025273
194	X	157	4848	NChap1_final_00000157	hap1	X	2051774	2055664	NChap1_final_00000157	R_salicifolius_00022419	NChap2_final_00025272
195	X	158	17159	NChap1_final_00000158	hap1	X	2067286	2069908	NChap1_final_00000158	R_salicifolius_00022420	
196	X	159	4953	NChap1_final_00000159	hap1	X	2070208	2081489	NChap1_final_00000159	R_salicifolius_00022421	NChap2_final_00025271
200	X	162	5901	NChap1_final_00000162	hap1	X	2084981	2087375	NChap1_final_00000162	R_salicifolius_00022423	NChap2_final_00025270
210	X	174	6272	NChap1_final_00000174	hap1	X	2164895	2166043	NChap1_final_00000174	R_salicifolius_00022425	NChap2_final_00025264
211	X	175	5847	NChap1_final_00000175	hap1	X	2198300	2199485	NChap1_final_00000175	R_salicifolius_00022426	NChap2_final_00025263
215	X	178	5462	NChap1_final_00000178	hap1	X	2248633	2255287	NChap1_final_00000178	R_salicifolius_00022427	NChap2_final_00025261
221	X	183	5799	NChap1_final_00000183	hap1	X	2275711	2286353	NChap1_final_00000183	R_salicifolius_00022430	NChap2_final_00025259
224	X	185	17266	NChap1_final_00000185	hap1	X	2302330	2305035	NChap1_final_00000185	R_salicifolius_00022432	
226	X	186	17272	NChap1_final_00000186	hap1	X	2306780	2309863	NChap1_final_00000186	R_salicifolius_00022433	
228	X	188	7505	NChap1_final_00000188	hap1	X	2311082	2322142	NChap1_final_00000188	R_salicifolius_00022434	NChap2_final_00025256
230	X	190	7571	NChap1_final_00000190	hap1	X	2333841	2340873	NChap1_final_00000190	R_salicifolius_00022435	NChap2_final_00025255
235	X	197	6962	NChap1_final_00000197	hap1	X	2456383	2460019	NChap1_final_00000197	R_salicifolius_00022438	NChap2_final_00025252
236	X	198	6800	NChap1_final_00000198	hap1	X	2468559	2471186	NChap1_final_00000198	R_salicifolius_00022439	NChap2_final_00025251
239	X	199	7005	NChap1_final_00000199	hap1	X	2497480	2500934	NChap1_final_00000199	R_salicifolius_00022440	NChap2_final_00025248
240	X	200	7133	NChap1_final_00000200	hap1	X	2501859	2504761	NChap1_final_00000200	R_salicifolius_00022441	NChap2_final_00025247
244	X	202	7196	NChap1_final_00000202	hap1	X	2565992	2566935	NChap1_final_00000202	R_salicifolius_00022443	NChap2_final_00025244
246	X	204	8001	NChap1_final_00000204	hap1	X	2634843	2637760	NChap1_final_00000204	R_salicifolius_00022444	NChap2_final_00025241
247	X	205	7906	NChap1_final_00000205	hap1	X	2642779	2649631	NChap1_final_00000205	R_salicifolius_00022445	NChap2_final_00025240
