"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2"
"1",5,"X",6,17887,"NChap1_final_00000006","hap1","X",478724,480411,"NChap1_final_00000006","R_salicifolius_00022222",""
"2",17,"X",11,17988,"NChap1_final_00000011","hap1","X",516007,518086,"NChap1_final_00000011","R_salicifolius_00022232",""
"3",19,"X",12,18012,"NChap1_final_00000012","hap1","X",520959,522297,"NChap1_final_00000012","R_salicifolius_00022234",""
"4",23,"X",14,18107,"NChap1_final_00000014","hap1","X",528938,530259,"NChap1_final_00000014","R_salicifolius_00022238",""
"5",44,"X",30,18175,"NChap1_final_00000030","hap1","X",667370,668068,"NChap1_final_00000030","R_salicifolius_00022251",""
"6",45,"X",32,18199,"NChap1_final_00000032","hap1","X",687750,692360,"NChap1_final_00000032","R_salicifolius_00022252",""
"7",56,"X",40,18179,"NChap1_final_00000040","hap1","X",785078,787088,"NChap1_final_00000040","R_salicifolius_00022258",""
"8",71,"X",56,18224,"NChap1_final_00000056","hap1","X",923236,926099,"NChap1_final_00000056","R_salicifolius_00022265",""
"9",74,"X",59,18237,"NChap1_final_00000059","hap1","X",943180,945520,"NChap1_final_00000059","R_salicifolius_00022268",""
"10",100,"X",82,16908,"NChap1_final_00000082","hap1","X",1180702,1181191,"NChap1_final_00000082","R_salicifolius_00022373",""
"11",119,"X",99,17037,"NChap1_final_00000099","hap1","X",1423055,1424277,"NChap1_final_00000099","R_salicifolius_00022367",""
"12",131,"X",111,17093,"NChap1_final_00000111","hap1","X",1516679,1520446,"NChap1_final_00000111","R_salicifolius_00022383",""
"13",137,"X",116,17106,"NChap1_final_00000116","hap1","X",1549274,1553923,"NChap1_final_00000116","R_salicifolius_00022386",""
"14",195,"X",158,17159,"NChap1_final_00000158","hap1","X",2067286,2069908,"NChap1_final_00000158","R_salicifolius_00022420",""
"15",216,"X",179,17179,"NChap1_final_00000179","hap1","X",2257261,2260604,"NChap1_final_00000179","R_salicifolius_00022428",""
