query_id subject_id per_identity e-value bit_score
NChap1_final_00000014 NChap2_final_00025370-RA 99.769 0.0 1587
NChap1_final_00000014 NChap2_final_00025370-RA 96.970 1.04e-23 111
NChap1_final_00000030 NChap2_final_00025363-RA 100.000 3.06e-86 318
NChap1_final_00000030 NChap2_final_00025363-RA 100.000 5.27e-64 244
NChap1_final_00000040 NChap2_final_00025356-RA 97.944 0.0 1838
NChap1_final_00000040 NChap2_final_00025356-RA 97.976 3.55e-119 429
NChap1_final_00000059 NChap2_final_00025350-RA 99.801 0.0 1845
NChap1_final_00000158 NChap2_final_00025271-RA 99.567 0.0 1683
NChap1_final_00000186 NChap2_final_00025258-RA 98.977 0.0 1567
NChap1_final_00000186 NChap2_final_00025258-RA 100.000 3.67e-34 147
NChap1_final_00000186 NChap2_final_00011901-RA 83.781 0.0 911
NChap1_final_00000186 NChap2_final_00025257-RA 100.000 0.0 678
NChap1_final_00000213 NChap2_final_00025233-RA 98.283 4.59e-113 409
NChap1_final_00000213 NChap2_final_00025233-RA 98.160 8.06e-76 285
NChap1_final_00000213 NChap2_final_00025233-RA 100.000 3.09e-30 134
NChap1_final_00000216 NChap2_final_00025230-RA 99.769 0.0 1591
NChap1_final_00000216 NChap2_final_00025230-RA 99.437 0.0 1288
NChap1_final_00000216 NChap2_final_00025230-RA 100.000 0.0 1199
NChap1_final_00000216 NChap2_final_00025230-RA 100.000 0.0 1181
NChap1_final_00000216 NChap2_final_00025230-RA 100.000 2.52e-25 119
NChap1_final_00000216 NChap2_final_00018009-RA 77.968 0.0 1009
NChap1_final_00000216 NChap2_final_00021443-RA 76.607 0.0 791
NChap1_final_00000216 NChap2_final_00025231-RA 100.000 1.99e-11 73.1
NChap1_final_00000428 NChap2_final_00025084-RA 99.125 0.0 822
NChap1_final_00000428 NChap2_final_00025084-RA 99.556 8.85e-114 411
NChap1_final_00000428 NChap2_final_00025084-RA 100.000 1.16e-102 374
NChap1_final_00000428 NChap2_final_00025084-RA 100.000 2.66e-59 230
NChap1_final_00000428 NChap2_final_00025084-RA 98.400 1.60e-56 220
NChap1_final_00000428 NChap2_final_00025084-RA 99.029 5.84e-46 185
NChap1_final_00000461 NChap2_final_00025060-RA 99.552 0.0 2034
NChap1_final_00000461 NChap2_final_00025060-RA 99.286 1.89e-66 254
NChap1_final_00000694 NChap2_final_00024883-RA 99.541 0.0 1190
NChap1_final_00000721 NChap2_final_00024857-RA 99.487 0.0 1062
NChap1_final_00000751 NChap2_final_00024839-RA 99.303 0.0 4931
NChap1_final_00000773 NChap2_final_00024817-RA 99.424 7.77e-180 630
NChap1_final_00000773 NChap2_final_00024817-RA 100.000 3.50e-19 97.1
NChap1_final_00000773 NChap2_final_00024817-RA 100.000 9.81e-15 82.4
NChap1_final_00000776 NChap2_final_00024815-RA 99.087 3.39e-109 394
NChap1_final_00000776 NChap2_final_00024815-RA 100.000 4.77e-48 191
NChap1_final_00000796 NChap2_final_00024803-RA 100.000 0.0 2206
NChap1_final_00000810 NChap2_final_00024792-RA 100.000 0.0 4337
NChap1_final_00000810 NChap2_final_00010500-RA 82.071 1.50e-90 335
NChap1_final_00000820 NChap2_final_00024784-RA 100.000 0.0 1565
NChap1_final_00001030 NChap2_final_00024612-RA 99.485 9.09e-97 353
NChap1_final_00001060 NChap2_final_00024589-RA 100.000 0.0 1884
NChap1_final_00001070 NChap2_final_00024580-RA 99.745 0.0 2156
NChap1_final_00001307 NChap2_final_00024425-RA 98.582 8.75e-66 250
NChap1_final_00001307 NChap2_final_00024425-RA 100.000 7.01e-42 171
NChap1_final_00001418 NChap2_final_00024335-RA 100.000 0.0 1539
NChap1_final_00001418 NChap2_final_00024335-RA 99.726 0.0 1339
NChap1_final_00001554 NChap2_final_00024213-RA 99.910 0.0 2043
NChap1_final_00001554 NChap2_final_00024213-RA 98.810 3.50e-35 150
NChap1_final_00001554 NChap2_final_00004182-RA 83.073 0.0 758
NChap1_final_00001688 NChap2_final_00024092-RA 100.000 3.36e-138 492
NChap1_final_00001692 NChap2_final_00024089-RA 99.087 3.06e-109 394
NChap1_final_00001692 NChap2_final_00024089-RA 100.000 7.32e-36 150
NChap1_final_00001692 NChap2_final_00024089-RA 100.000 2.63e-35 148
NChap1_final_00001692 NChap2_final_00002267-RA 99.087 3.06e-109 394
NChap1_final_00001692 NChap2_final_00028491-RA 86.034 6.63e-106 383
NChap1_final_00001696 NChap2_final_00024085-RA 97.143 0.0 641
NChap1_final_00001696 NChap2_final_00024085-RA 98.800 5.33e-124 444
NChap1_final_00001800 NChap2_final_00024007-RA 100.000 0.0 1912
NChap1_final_00002020 NChap2_final_00023826-RA 99.424 0.0 1576
NChap1_final_00002029 NChap2_final_00023820-RA 98.827 0.0 1365
NChap1_final_00002182 NChap2_final_00023697-RA 99.584 0.0 1314
NChap1_final_00002182 NChap2_final_00011766-RA 79.113 3.58e-131 468
NChap1_final_00002264 NChap2_final_00023585-RA 99.198 0.0 4721
NChap1_final_00002264 NChap2_final_00023585-RA 78.867 0.0 1611
NChap1_final_00002264 NChap2_final_00023587-RA 76.817 0.0 1323
NChap1_final_00002390 NChap2_final_00011550-RA 100.000 1.22e-87 324
NChap1_final_00002390 NChap2_final_00023502-RA 100.000 1.22e-87 324
NChap1_final_00002390 NChap2_final_00023502-RA 94.595 1.37e-07 58.4
NChap1_final_00002390 NChap2_final_00027031-RA 99.429 5.68e-86 318
NChap1_final_00002390 NChap2_final_00012296-RA 83.268 1.63e-61 237
NChap1_final_00002425 NChap2_final_00023458-RA 99.045 0.0 1496
NChap1_final_00002425 NChap2_final_00023459-RA 99.454 0.0 1330
NChap1_final_00002498 NChap2_final_00030758-RA 96.226 3.74e-16 87.9
NChap1_final_00002498 NChap2_final_00012321-RA 100.000 3.79e-06 54.7
NChap1_final_00002596 NChap2_final_00023319-RA 99.525 0.0 1533
